Value Research,,,,,
Generate on: 23-Jul-2020 06:29,,,,,
,,,,,
All Equity Funds,,,,,
,,,,,
Fund Name,3 Yr Ret (%),5 Yr Ret (%),10 Yr Ret (%),15 Yr Ret (%),20 Yr Ret (%)
Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Banking ETF - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,-3.71,6.44,NA,NA,NA
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,-4.76,5.40,NA,NA,NA
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan,-1.63,-0.93,4.11,NA,NA
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Direct Plan,-1.30,-0.56,NA,NA,NA
Aditya Birla Sun Life Digital India Fund,16.95,11.17,11.66,12.01,10.43
Aditya Birla Sun Life Digital India Fund - Direct Plan,18.05,12.09,NA,NA,NA
Aditya Birla Sun Life Dividend Yield Fund,-3.29,1.62,6.53,11.14,NA
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,-2.60,2.38,NA,NA,NA
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,-1.13,5.70,NA,NA,NA
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,-2.15,4.59,9.00,11.69,11.91
Aditya Birla Sun Life Equity Fund,0.15,6.30,9.76,13.68,15.80
Aditya Birla Sun Life Equity Fund - Direct Plan,1.18,7.35,NA,NA,NA
Aditya Birla Sun Life Focused Equity Fund,1.82,5.33,10.43,NA,NA
Aditya Birla Sun Life Focused Equity Fund - Direct Plan,2.85,6.44,NA,NA,NA
Aditya Birla Sun Life Frontline Equity Fund,0.38,4.49,9.49,14.56,NA
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,1.22,5.43,NA,NA,NA
Aditya Birla Sun Life Global Emerging Opportunities Fund,10.86,7.72,3.44,NA,NA
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,11.23,7.95,NA,NA,NA
Aditya Birla Sun Life Global Real Estate Fund - Direct Plan,0.81,0.95,NA,NA,NA
Aditya Birla Sun Life Global Real Estate Fund - Retail Plan,0.37,0.50,NA,NA,NA
Aditya Birla Sun Life Index Fund,4.06,5.30,7.28,10.83,NA
Aditya Birla Sun Life Index Fund - Direct Plan,4.28,5.54,NA,NA,NA
Aditya Birla Sun Life India GenNext Fund,4.09,8.27,13.65,NA,NA
Aditya Birla Sun Life India GenNext Fund - Direct Plan,5.30,9.50,NA,NA,NA
Aditya Birla Sun Life Infrastructure Fund,-9.71,-1.39,3.62,NA,NA
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,-8.99,NA,NA,NA,NA
Aditya Birla Sun Life International Equity Fund - Plan A,12.79,7.47,11.39,NA,NA
Aditya Birla Sun Life International Equity Fund - Plan A - Direct Plan,13.41,8.03,NA,NA,NA
Aditya Birla Sun Life International Equity Fund - Plan B,-0.86,3.36,6.56,NA,NA
Aditya Birla Sun Life International Equity Fund - Plan B - Direct Plan,-0.41,3.86,NA,NA,NA
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,-0.22,NA,NA,NA,NA
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,-1.05,4.48,NA,NA,NA
Aditya Birla Sun Life Mid Cap Fund,-6.77,1.64,8.06,13.26,NA
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,-5.92,2.55,NA,NA,NA
Aditya Birla Sun Life MNC Fund,2.31,3.94,13.82,15.89,16.95
Aditya Birla Sun Life MNC Fund - Direct Plan,3.27,5.00,NA,NA,NA
Aditya Birla Sun Life Nifty ETF Fund,4.95,6.35,NA,NA,NA
Aditya Birla Sun Life Nifty Next 50 ETF - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Pure Value Fund,-9.60,0.37,8.78,NA,NA
Aditya Birla Sun Life Pure Value Fund - Direct Plan,-8.52,1.48,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 3 - Direct Plan,-0.49,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 3 - Regular Plan,-1.85,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 4 - Direct Plan,-2.32,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 4 - Regular Plan,-3.45,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 5 - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 5 - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 6 - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 6 - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan,NA,NA,NA,NA,NA
Aditya Birla Sun Life Sensex ETF,3.31,NA,NA,NA,NA
Aditya Birla Sun Life Small Cap Fund,-12.48,0.45,7.23,NA,NA
Aditya Birla Sun Life Small Cap Fund - Direct Plan,-11.41,1.55,NA,NA,NA
Aditya Birla Sun Life Tax Plan,1.77,5.86,10.95,12.44,14.66
Aditya Birla Sun Life Tax Plan - Direct Plan,2.65,6.87,NA,NA,NA
Aditya Birla Sun Life Tax Relief 96,2.52,6.51,10.01,13.26,14.64
Aditya Birla Sun Life Tax Relief 96 - Direct Plan,3.60,7.58,NA,NA,NA
Axis Bluechip Fund,9.39,8.55,10.66,NA,NA
Axis Bluechip Fund - Direct Plan,10.83,9.86,NA,NA,NA
Axis Capital Builder Fund Series 1 (1540 Days) - Direct Plan,NA,NA,NA,NA,NA
Axis Capital Builder Fund Series 1 (1540 Days) - Regular Plan,NA,NA,NA,NA,NA
Axis Capital Builder Fund Series 4 (1582 Days) - Direct Plan,NA,NA,NA,NA,NA
Axis Capital Builder Fund Series 4 (1582 Days) - Regular Plan,NA,NA,NA,NA,NA
Axis Emerging Opportunities Fund Series 1 (1400 Days) - Direct Plan,3.11,NA,NA,NA,NA
Axis Emerging Opportunities Fund Series 1 (1400 Days) - Regular Plan,1.86,NA,NA,NA,NA
Axis Emerging Opportunities Fund Series 2 (1400 Days) - Direct Plan,2.80,NA,NA,NA,NA
Axis Emerging Opportunities Fund Series 2 (1400 Days) - Regular Plan,1.48,NA,NA,NA,NA
Axis Equity Advantage Fund Series 1 - Direct Plan,NA,NA,NA,NA,NA
Axis Equity Advantage Fund Series 1 - Regular Plan,6.17,NA,NA,NA,NA
Axis Equity Advantage Fund Series 2 - Direct Plan,NA,NA,NA,NA,NA
Axis Equity Advantage Fund Series 2 - Regular Plan,NA,NA,NA,NA,NA
Axis ESG Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Axis ESG Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Axis Focused 25 Fund,5.80,8.69,NA,NA,NA
Axis Focused 25 Fund - Direct Plan,7.10,10.02,NA,NA,NA
Axis Growth Opportunities Fund - Direct Plan,NA,NA,NA,NA,NA
Axis Growth Opportunities Fund - Regular Plan,NA,NA,NA,NA,NA
Axis Long Term Equity Fund,5.68,7.25,14.40,NA,NA
Axis Long Term Equity Fund - Direct Plan,6.69,8.34,NA,NA,NA
Axis Midcap Fund,8.69,7.35,NA,NA,NA
Axis Midcap Fund - Direct Plan,10.03,8.65,NA,NA,NA
Axis Multicap Fund - Direct Plan,NA,NA,NA,NA,NA
Axis Multicap Fund - Regular Plan,NA,NA,NA,NA,NA
Axis Nifty 100 Index Fund - Direct Plan,NA,NA,NA,NA,NA
Axis Nifty 100 Index Fund - Regular Plan,NA,NA,NA,NA,NA
Axis Nifty ETF - Regular Plan,5.04,NA,NA,NA,NA
Axis Small Cap Fund - Direct Plan,5.53,9.18,NA,NA,NA
Axis Small Cap Fund - Regular Plan,4.19,7.88,NA,NA,NA
Baroda Banking and Financial Services Fund,-1.38,3.56,NA,NA,NA
Baroda Banking and Financial Services Fund - Direct Plan,-0.68,4.31,NA,NA,NA
Baroda ELSS 96 Fund,-1.91,2.32,6.41,8.44,10.99
