Value Research,,,
Generate on: 23-Jul-2020 06:27,,,
,,,
All Equity Funds,,,
,,,
Fund Name,Category,Expense Ratio (%),1 Yr Ret (%)
Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Direct Plan,EQ-MLC,0.70,4.72
Aditya Birla Sun Life Bal Bhavishya Yojna - Wealth Plan - Regular Plan,EQ-MLC,2.60,2.53
Aditya Birla Sun Life Banking ETF - Regular Plan,EQ-BANK,0.16,NA
Aditya Birla Sun Life Banking & Financial Services Fund - Direct Plan,EQ-BANK,1.26,-17.73
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,EQ-BANK,2.43,-18.59
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan,EQ-INTL,1.65,-12.06
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Direct Plan,EQ-INTL,1.20,-11.83
Aditya Birla Sun Life Digital India Fund,EQ-IT,2.62,13.82
Aditya Birla Sun Life Digital India Fund - Direct Plan,EQ-IT,1.67,14.85
Aditya Birla Sun Life Dividend Yield Fund,EQ-DIV Y,2.55,3.36
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan,EQ-DIV Y,1.80,4.02
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,EQ-L&MC,1.08,0.19
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,EQ-L&MC,2.07,-0.72
Aditya Birla Sun Life Equity Fund,EQ-MLC,1.94,-2.96
Aditya Birla Sun Life Equity Fund - Direct Plan,EQ-MLC,0.97,-2.11
Aditya Birla Sun Life Focused Equity Fund,EQ-LC,2.10,-1.59
Aditya Birla Sun Life Focused Equity Fund - Direct Plan,EQ-LC,1.11,-0.71
Aditya Birla Sun Life Frontline Equity Fund,EQ-LC,1.85,-4.02
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,EQ-LC,1.10,-3.42
Aditya Birla Sun Life Global Emerging Opportunities Fund,EQ-INTL,1.13,25.02
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan,EQ-INTL,0.63,25.59
Aditya Birla Sun Life Global Real Estate Fund - Direct Plan,EQ-INTL,0.83,-10.02
Aditya Birla Sun Life Global Real Estate Fund - Retail Plan,EQ-INTL,1.28,-10.43
Aditya Birla Sun Life Index Fund,EQ-LC,0.58,-1.32
Aditya Birla Sun Life Index Fund - Direct Plan,EQ-LC,0.33,-1.19
Aditya Birla Sun Life India GenNext Fund,EQ-Consumption,2.37,3.73
Aditya Birla Sun Life India GenNext Fund - Direct Plan,EQ-Consumption,1.12,5.01
Aditya Birla Sun Life Infrastructure Fund,EQ-INFRA,2.60,-16.03
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,EQ-INFRA,1.79,-15.43
Aditya Birla Sun Life International Equity Fund - Plan A,EQ-INTL,2.56,14.10
Aditya Birla Sun Life International Equity Fund - Plan A - Direct Plan,EQ-INTL,1.88,14.88
Aditya Birla Sun Life International Equity Fund - Plan B,EQ-THEMATIC,2.59,-3.14
Aditya Birla Sun Life International Equity Fund - Plan B - Direct Plan,EQ-THEMATIC,2.23,-2.80
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,EQ-THEMATIC,1.63,7.90
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,EQ-THEMATIC,2.62,7.08
Aditya Birla Sun Life Mid Cap Fund,EQ-MC,2.29,-9.61
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,EQ-MC,1.28,-8.78
Aditya Birla Sun Life MNC Fund,EQ-MNC,2.07,5.01
