,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fund Name,Rating,Analyst's Choice?,Category,1 Year Returns (%),1 Year Returns (growth of 1 lakh),1 Year SIP Returns (%),1 Year SIP Returns (growth of 10k/mth),3 Year Returns (%),3 Year Returns (growth of 1 lakh),3 Year SIP Returns (%),3 Year SIP Returns (growth of 10k/mth),5 Year Returns (%),5 Year Returns (growth of 1 lakh),5 Year SIP Returns (%),5 Year SIP Returns (growth of 10k/mth),10 Year Returns (%),10 Year Returns (growth of 1 lakh),10 Year SIP Returns (%),10 Year SIP Returns (growth of 10k/mth),Expense Ratio (%)
Axis Focused 25 Fund - Direct Plan,5,Coming Soon,Equity: Multi Cap,0.26,"1,00,262",2.60,"1,21,550",6.97,"1,22,399",3.78,"3,80,835",9.85,"1,59,949",9.36,"7,56,744",--,--,--,--,0.63
Axis Focused 25 Fund,5,Coming Soon,Equity: Multi Cap,-0.92,"99,078",1.42,"1,20,847",5.68,"1,18,014",2.50,"3,73,695",8.52,"1,50,525",7.98,"7,31,508",--,--,--,--,2.01
Canara Robeco Emerging Equities Fund - Direct Plan,5,Coming Soon,Equity: Large & MidCap,0.87,"1,00,871",9.08,"1,25,364",3.36,"1,10,407",2.04,"3,71,115",9.42,"1,56,861",7.47,"7,22,431",--,--,--,--,0.77
Canara Robeco Emerging Equities Fund - Regular Plan,5,Coming Soon,Equity: Large & MidCap,-0.35,"99,653",7.81,"1,24,626",2.11,"1,06,473",0.86,"3,64,655",8.14,"1,47,895",6.14,"6,99,090",15.25,"4,13,347",15.78,"27,27,978",1.97
Canara Robeco Equity Diversified Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,2.95,"1,02,946",10.62,"1,26,264",6.90,"1,22,160",5.85,"3,92,543",7.35,"1,42,556",8.92,"7,48,594",--,--,--,--,0.79
Canara Robeco Equity Diversified Fund - Regular Plan,4,Coming Soon,Equity: Multi Cap,1.59,"1,01,591",9.13,"1,25,396",5.94,"1,18,885",4.74,"3,86,244",6.50,"1,36,998",7.92,"7,30,445",9.80,"2,54,770",10.20,"20,28,653",2.23
DSP Equity Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,1.09,"1,01,090",3.31,"1,21,972",4.66,"1,14,628",3.29,"3,78,098",7.41,"1,42,965",7.18,"7,17,262",--,--,--,--,1.12
DSP Equity Fund,4,Coming Soon,Equity: Multi Cap,0.11,"1,00,115",2.28,"1,21,360",3.79,"1,11,793",2.38,"3,73,037",6.58,"1,37,535",6.28,"7,01,391",9.45,"2,46,767",10.11,"20,19,400",2.06
Edelweiss Multi Cap Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,-6.41,"93,594",0.56,"1,20,338",3.68,"1,11,440",-0.58,"3,56,881",6.34,"1,35,953",5.32,"6,84,978",--,--,--,--,0.70
Edelweiss Multi Cap Fund - Regular Plan,4,Coming Soon,Equity: Multi Cap,-8.08,"91,923",-1.17,"1,19,298",2.19,"1,06,714",-2.24,"3,48,053",5.14,"1,28,465",3.85,"6,60,520",--,--,--,--,2.49
IIFL Focused Equity Fund - Direct Plan,5,Coming Soon,Equity: Multi Cap,4.23,"1,04,228",11.09,"1,26,532",7.50,"1,24,228",8.99,"4,10,775",10.38,"1,63,846",10.92,"7,86,408",--,--,--,--,0.90
IIFL Focused Equity Fund - Regular Plan,5,Coming Soon,Equity: Multi Cap,2.73,"1,02,731",9.57,"1,25,651",5.91,"1,18,783",7.41,"4,01,559",8.97,"1,53,652",9.38,"7,57,099",--,--,--,--,2.27
Invesco India Contra Fund - Direct Plan,5,Coming Soon,Equity: Value Oriented,0.81,"1,00,812",12.61,"1,27,415",6.30,"1,20,100",3.53,"3,79,422",9.47,"1,57,194",8.63,"7,43,351",--,--,--,--,0.69
Invesco India Contra Fund,5,Coming Soon,Equity: Value Oriented,-0.30,"99,704",11.40,"1,26,713",4.96,"1,15,635",2.35,"3,72,864",7.97,"1,46,721",7.17,"7,17,036",11.35,"2,93,129",12.64,"23,07,284",1.98
Invesco India Growth Opportunities Fund - Direct Plan,4,Coming Soon,Equity: Large & MidCap,-1.81,"98,194",1.67,"1,21,001",5.05,"1,15,935",1.42,"3,67,719",7.63,"1,44,466",7.04,"7,14,712",--,--,--,--,0.69
Invesco India Growth Opportunities Fund,4,Coming Soon,Equity: Large & MidCap,-2.82,"97,182",0.63,"1,20,379",3.68,"1,11,455",0.23,"3,61,250",6.03,"1,34,000",5.55,"6,88,877",10.39,"2,68,674",10.42,"20,51,978",2.09
JM Multicap Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,-0.65,"99,351",-0.69,"1,19,583",2.43,"1,07,456",1.24,"3,66,723",7.05,"1,40,567",6.65,"7,07,916",--,--,--,--,1.32
JM Multicap Fund,4,Coming Soon,Equity: Multi Cap,-1.42,"98,579",-1.44,"1,19,132",1.63,"1,04,973",0.45,"3,62,448",5.80,"1,32,566",5.62,"6,90,067",7.44,"2,05,022",10.03,"20,09,982",2.50
Kotak Equity Opportunities Fund - Direct Plan,4,Coming Soon,Equity: Large & MidCap,1.44,"1,01,436",8.50,"1,25,028",3.50,"1,10,887",3.52,"3,79,337",8.09,"1,47,548",7.39,"7,20,933",--,--,--,--,0.89
Kotak Equity Opportunities Fund - Regular Plan,4,Coming Soon,Equity: Large & MidCap,0.35,"1,00,348",7.33,"1,24,343",2.30,"1,07,068",2.39,"3,73,078",6.76,"1,38,659",6.10,"6,98,339",10.17,"2,63,399",10.85,"20,98,763",2.07
Kotak India EQ Contra Fund - Direct Plan,4,Coming Soon,Equity: Value Oriented,-3.05,"96,947",5.94,"1,23,528",5.77,"1,18,328",2.43,"3,73,317",7.96,"1,46,653",7.66,"7,25,685",--,--,--,--,1.08
Kotak India EQ Contra Fund - Regular Plan,4,Coming Soon,Equity: Value Oriented,-4.38,"95,620",4.59,"1,22,733",4.32,"1,13,542",1.05,"3,65,716",6.35,"1,36,053",6.07,"6,97,873",8.73,"2,30,899",9.57,"19,62,627",2.44
Kotak Standard Multicap Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,-4.51,"95,492",4.17,"1,22,484",3.41,"1,10,578",1.86,"3,70,133",8.34,"1,49,264",6.79,"7,10,391",--,--,--,--,0.73
